item,count
microsoft.com,431
gstatic.com,312
pinimg.com,218
tiktokcdn-us.com,185
dropboxstatic.com,174
google.com,153
rbxcdn.com,145
githubassets.com,135
vimeocdn.com,98
yimg.com,95
